HeronIsland-Salinity(practical salinity units),HeronIsland-Water Temperature(degrees celsius),HeronIsland-Water Pressure(decibar),LadyMusgrave-Water Temperature (degrees celsius)
35.4867,26.7491,5.9107,27.356
35.5083,26.4721,5.9543,27.3536
35.5155,26.3636,5.9359,27.3173
35.5097,26.4211,5.9053,27.217
35.489,27.1186,5.8907,27.298
35.4701,27.3558,5.8779,27.3858
35.4145,27.5323,5.8212,27.4642
35.4071,27.3968,5.7621,27.4131
35.3858,27.2227,5.7598,27.3736
35.3599,27.073,5.7664,27.4131
35.3757,26.969,5.7834,27.4333
35.4557,27.0424,5.7964,27.4996
35.4603,27.1002,5.786,27.5459
35.474,27.1969,5.7883,27.6298
35.4353,27.3315,5.7799,27.7269
35.4328,27.1755,5.7791,27.8079
35.4355,27.244,5.7777,27.7867
35.4154,27.5576,5.8045,27.8507
35.4066,27.5067,5.8492,27.5976
35.3892,27.3814,5.8572,27.236
35.4289,27.2654,5.8141,27.2222
35.4601,27.1536,5.7774,27.416
35.4907,26.9599,5.7813,27.4435
35.4836,27.0414,5.7504,27.4799
35.4408,27.2465,5.7561,27.5015
35.455,27.0303,5.7538,27.4836
35.4814,26.7873,5.7799,27.4995
35.4745,27.1937,5.7894,27.5566
35.4646,27.1894,5.7784,27.5734
35.438,27.0963,5.8009,27.5417
35.4244,26.9243,5.8283,27.5161
35.3071,26.7765,5.8586,27.5017
35.51,27.0595,5.8716,27.5123
35.5782,26.9472,5.8746,27.4365
35.6282,27.2209,5.8668,27.4826
35.5941,27.327,5.8695,27.5545
35.6215,27.2504,5.8504,27.416
35.66,27.1798,5.8128,27.3924
35.7458,27.019,5.7779,27.4235
35.7375,27.3958,5.74,27.4319
35.7465,27.5496,5.7111,27.4388
35.6653,27.421,5.7628,27.4155
35.683,27.2277,5.7867,27.3819
35.6847,26.9731,5.8037,27.3817
35.6441,26.9398,5.8012,27.5397
35.5947,27.0601,5.7819,27.5675
35.681,27.3411,5.7828,27.4898
35.615,27.6022,5.7785,27.6334
35.5979,27.7754,5.7574,27.6149
35.573,27.6585,5.7569,27.7377
35.5758,27.6615,5.8062,27.6959
35.6697,27.3047,5.8481,27.5727
35.6569,27.1696,5.817,27.5059
35.6493,26.6888,5.8279,27.5199
